Commands,encoded_intent
Turn off all the fans,0
Switch off all the fans,0
Power down all the fans,0
Shut off all the fans,0
Deactivate all the fans,0
Kill all the fans,0
Disable all the fans,0
Stop all the fans,0
Turn off every fan,0
Switch off every fan,0
Power down every fan,0
Shut off every fan,0
Deactivate every fan,0
Kill every fan,0
Disable every fan,0
Stop every fan,0
Turn off fans in all rooms,0
Switch off fans in all rooms,0
Power down fans in all rooms,0
Shut off fans in all rooms,0
Deactivate fans in all rooms,0
Kill fans in all rooms,0
Disable fans in all rooms,0
Stop fans in all rooms,0
Turn off house fans,0
Switch off house fans,0
Power down house fans,0
Shut off house fans,0
Deactivate house fans,0
Kill house fans,0
Disable house fans,0
Stop house fans,0
Turn off indoor fans,0
Switch off indoor fans,0
Power down indoor fans,0
Shut off indoor fans,0
Deactivate indoor fans,0
Kill indoor fans,0
Disable indoor fans,0
Stop indoor fans,0
Turn off the room fans,0
Switch off the room fans,0
Power down the room fans,0
Shut off the room fans,0
Deactivate the room fans,0
Kill the room fans,0
Disable the room fans,0
Stop the room fans,0
Turn off all fans in the house,0
Switch off all fans in the house,0
Power down all fans in the house,0
Shut off all fans in the house,0
Deactivate all fans in the house,0
Kill all fans in the house,0
Disable all fans in the house,0
Stop all fans in the house,0
Turn off all house fans,0
Switch off all house fans,0
Power down all house fans,0
Shut off all house fans,0
Deactivate all house fans,0
Kill all house fans,0
Disable all house fans,0
Stop all house fans,0
Turn off all indoor fans,0
Switch off all indoor fans,0
Power down all indoor fans,0
Shut off all indoor fans,0
Deactivate all indoor fans,0
Kill all indoor fans,0
Disable all indoor fans,0
Stop all indoor fans,0
Turn off every fan in the house,0
Switch off every fan in the house,0
Power down every fan in the house,0
Shut off every fan in the house,0
Deactivate every fan in the house,0
Kill every fan in the house,0
Disable every fan in the house,0
Stop every fan in the house,0
Turn off all fans in every room,0
Switch off all fans in every room,0
Power down all fans in every room,0
Shut off all fans in every room,0
Deactivate all fans in every room,0
Kill all fans in every room,0
Disable all fans in every room,0
Stop all fans in every room,0
Turn off fans in the entire house,0
Switch off fans in the entire house,0
Power down fans in the entire house,0
